Symbol,Date,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
NABIL,2026-05-11,523.0,532.0,523.0,527.0,527.61,37981.0,523.0,20038989.1,486,4.0,9.0,0.76,1.72,-0.11,509.84,514.56,562.0,471.0
NABIL,2026-05-12,530.0,533.0,527.0,527.0,528.56,37974.0,527.0,20071403.2,458,0.0,6.0,0.0,1.14,-0.3,509.96,514.59,562.0,471.0
NABIL,2026-05-13,527.0,528.0,523.1,527.0,525.69,29723.0,527.0,15625087.2,344,0.0,4.9,0.0,0.94,0.25,510.09,514.57,562.0,471.0
NABIL,2026-05-14,530.0,530.0,525.0,527.0,526.56,23778.0,527.0,12520605.1,351,0.0,5.0,0.0,0.95,0.08,510.21,514.49,562.0,471.0
NABIL,2026-05-15,525.1,531.0,525.0,527.0,527.86,22776.0,527.0,12022616.6,314,0.0,6.0,0.0,1.14,-0.16,510.37,514.37,562.0,471.0
NABIL,2026-05-16,525.1,531.0,525.0,527.0,527.86,22776.0,527.0,12022616.6,314,0.0,6.0,0.0,1.14,-0.16,510.37,514.37,562.0,471.0
NABIL,2026-05-17,525.1,531.0,525.0,527.0,527.86,22776.0,527.0,12022616.6,314,0.0,6.0,0.0,1.14,-0.16,510.37,514.37,562.0,471.0
NABIL,2026-05-18,527.0,532.0,525.0,526.0,526.2,44305.0,527.0,23313421.6,463,-1.0,7.0,-0.19,1.33,-0.04,510.52,514.24,562.0,471.0
NABIL,2026-05-19,526.0,530.0,523.0,526.0,525.27,41228.0,526.0,21655922.2,429,0.0,7.0,0.0,1.34,0.14,510.66,514.13,562.0,471.0
NABIL,2026-05-20,529.9,531.0,524.0,527.4,527.55,55468.0,526.0,29262212.4,404,1.4,7.0,0.27,1.34,-0.03,510.82,513.98,562.0,471.0
NABIL,2026-05-21,527.4,530.0,526.2,527.9,527.7,27246.0,527.4,14377698.1,363,0.5,3.8,0.09,0.72,0.04,511.02,513.85,562.0,471.0
