Symbol,Date,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Daily_return,SMA_20,EMA_20,RSI_14,MACD
NABIL,2025-04-04,491.0,494.0,486.1,488.73,490.05,42041.0,485.26,20602284.7,393,3.47,7.9,0.72,1.63,-0.27,521.7,538.13,700.0,419.0,-0.7314508019715478,876.4295000000022,853.8009012363086,49.76177832418874,69.31345746838929
NABIL,2025-04-05,491.0,494.0,486.1,488.73,490.05,42041.0,485.26,20602284.7,393,3.47,7.9,0.72,1.63,-0.27,521.7,538.13,700.0,419.0,-0.7314508019715478,876.4295000000022,853.8009012363086,49.76177832418874,69.31345746838929
NABIL,2025-04-06,491.0,494.0,486.1,488.73,490.05,42041.0,485.26,20602284.7,393,3.47,7.9,0.72,1.63,-0.27,521.7,538.13,700.0,419.0,-0.7314508019715478,876.4295000000022,853.8009012363086,49.76177832418874,69.31345746838929
NABIL,2025-04-07,490.0,497.0,482.0,486.97,486.07,46130.0,488.73,22422636.0,432,-1.76,15.0,-0.36,3.11,0.18,521.02,538.25,700.0,419.0,-0.7326529379793466,837.8390000000021,835.22904123066,49.070361907184065,65.65426034052439
NABIL,2025-04-08,485.0,486.0,478.0,484.65,482.91,38820.0,486.97,18746522.3,399,-2.32,8.0,-0.48,1.67,0.36,520.45,538.38,700.0,419.0,-0.7340302930523543,898.5905000000024,866.758035546368,44.74926659332606,51.942642726935674
NABIL,2025-04-09,494.0,494.0,483.2,486.27,486.67,26187.0,484.65,12744525.0,294,1.62,10.8,0.33,2.24,-0.08,519.88,538.54,700.0,419.0,-0.7319393835824104,892.1925000000025,857.6952141573175,45.36158566626097,68.2923690722431
NABIL,2025-04-10,491.0,492.4,484.0,485.97,485.86,30292.0,486.27,14717797.1,337,-0.3,8.4,-0.06,1.74,0.02,519.34,538.7,700.0,419.0,-0.7266314528241389,843.8585000000027,819.7196392201732,45.52801953252356,63.80780801515937
NABIL,2025-04-11,491.0,492.4,484.0,485.97,485.86,30292.0,486.27,14717797.1,337,-0.3,8.4,-0.06,1.74,0.02,519.34,538.7,700.0,419.0,-0.7266314528241389,843.8585000000027,819.7196426668968,45.52801953252356,63.80768441451812
NABIL,2025-04-12,491.0,492.4,484.0,485.97,485.86,30292.0,486.27,14717797.1,337,-0.3,8.4,-0.06,1.74,0.02,519.34,538.7,700.0,419.0,-0.7266314528241389,843.8585000000027,819.7196426668968,45.528019532523565,63.80768441451812
NABIL,2025-04-13,495.6,495.6,484.1,486.97,486.17,44237.0,485.97,21506720.9,403,1.0,11.5,0.21,2.38,0.16,518.89,538.88,700.0,419.0,-0.729178252841857,872.4805000000026,846.4789273212731,49.60195175733518,62.259817221720255
NABIL,2025-04-14,495.6,495.6,484.1,486.97,486.17,44237.0,485.97,21506720.9,403,1.0,11.5,0.21,2.38,0.16,518.89,538.88,700.0,419.0,-0.729178252841857,872.4805000000026,846.4789236734116,49.60195175733513,62.259933523181644
NABIL,2025-04-15,496.0,496.0,486.0,487.96,487.61,62586.0,486.97,30517392.0,503,0.99,10.0,0.2,2.06,0.07,518.37,539.08,700.0,419.0,-0.7295946357817739,849.4730000000027,845.1935699401312,49.10650259587532,62.21258959153488
NABIL,2025-04-16,497.0,497.0,488.0,489.31,489.68,43376.0,487.96,21240560.5,423,1.35,9.0,0.28,1.84,-0.08,517.72,539.25,700.0,419.0,-0.7274357874566207,902.7550000000026,874.763219380694,45.25327290946996,52.25889677123416
NABIL,2025-04-17,490.8,495.6,489.0,494.38,492.58,54656.0,489.31,26922513.4,503,5.07,6.6,1.04,1.35,0.36,517.13,539.34,700.0,419.0,-0.7221600903690631,854.2985000000026,846.2585636411891,49.132416195392324,65.2140469091247
NABIL,2025-04-18,490.8,495.6,489.0,494.38,492.58,54656.0,489.31,26922513.4,503,5.07,6.6,1.04,1.35,0.36,517.13,539.34,700.0,419.0,-0.7221600903690631,854.2985000000026,846.2585729169889,49.132416195392324,65.21374783477597
NABIL,2025-04-19,490.8,495.6,489.0,494.38,492.58,54656.0,489.31,26922513.4,503,5.07,6.6,1.04,1.35,0.36,517.13,539.34,700.0,419.0,-0.7221600903690631,854.2985000000026,846.2585729169889,49.132416195392324,65.21374783477575
NABIL,2025-04-20,500.0,501.2,490.0,492.09,493.55,79228.0,494.38,39103117.8,605,-2.29,11.2,-0.46,2.29,-0.3,516.44,539.39,700.0,419.0,-0.7253134315027967,900.0945000000025,867.2750852194688,45.30295939037678,62.59004227650473
NABIL,2025-04-21,494.9,495.0,490.0,490.87,492.04,49104.0,492.09,24161003.3,384,-1.22,5.0,-0.25,1.02,-0.24,515.61,539.41,700.0,419.0,-0.7237134639522254,897.1495000000026,868.3551319535595,45.34785411819596,58.670931685510936
NABIL,2025-04-22,490.0,494.0,485.0,487.76,487.24,31332.0,490.87,15266150.5,352,-3.11,9.0,-0.63,1.86,0.11,514.75,539.41,700.0,419.0,-0.7176072809800607,838.0815000000026,819.514546947439,49.099656279573146,70.62163661618536
NABIL,2025-04-23,487.0,488.0,482.0,486.77,484.38,65014.0,487.76,31491464.6,492,-0.99,6.0,-0.2,1.24,0.49,513.86,539.39,700.0,419.0,-0.7190441834290496,883.2255000000025,845.3928538711793,45.35512957808776,64.90370745761481
NABIL,2025-04-24,483.0,489.9,483.0,485.87,485.78,30597.0,486.77,14863308.9,359,-0.9,6.9,-0.18,1.43,0.02,512.91,539.37,700.0,419.0,-0.7174583052266753,854.6150000000027,826.8902820427621,49.75679200744139,71.3910791862105
NABIL,2025-04-25,483.0,489.9,483.0,485.87,485.78,30597.0,486.77,14863308.9,359,-0.9,6.9,-0.18,1.43,0.02,512.91,539.37,700.0,419.0,-0.7174583052266753,854.6150000000027,826.8902854111852,49.75679200744142,71.39100372681924
NABIL,2025-04-26,483.0,489.9,483.0,485.87,485.78,30597.0,486.77,14863308.9,359,-0.9,6.9,-0.18,1.43,0.02,512.91,539.37,700.0,419.0,-0.7174583052266753,854.6150000000027,826.8902854111852,49.75679200744142,71.39100372681924
NABIL,2025-04-27,490.0,490.0,483.2,485.01,485.96,50578.0,485.87,24578874.7,439,-0.86,6.8,-0.18,1.41,-0.2,511.88,539.3,700.0,419.0,-0.7030381327912616,816.9010000000026,806.6291220705953,49.09380630412463,55.84172161014169
NABIL,2025-04-28,485.3,487.9,480.6,481.3,481.97,45746.0,485.01,22048192.7,523,-3.71,7.3,-0.76,1.52,-0.14,510.84,539.16,700.0,419.0,-0.7055981013432507,852.4280000000026,829.200164909713,49.73629998726659,41.08002756889903
NABIL,2025-04-29,480.0,488.0,480.0,481.45,481.75,29998.0,481.3,14451570.2,320,0.15,8.0,0.03,1.67,-0.06,509.87,538.9,700.0,419.0,-0.7101811330295387,840.1720000000025,814.5800521481374,49.758093853881654,61.62849882720025
NABIL,2025-04-30,480.0,487.0,478.0,478.18,479.22,49915.0,481.45,23920163.4,571,-3.27,9.0,-0.68,1.88,-0.22,508.98,538.64,700.0,419.0,-0.711680966650789,807.7120000000025,804.5200433769878,48.942150255816095,50.69825117452717
NABIL,2025-05-01,480.0,487.0,478.0,478.18,479.22,49915.0,481.45,23920163.4,571,-3.27,9.0,-0.68,1.88,-0.22,508.98,538.64,700.0,419.0,-0.711680966650789,807.7120000000025,804.5200464004755,48.942150255816095,50.698159046672686
NABIL,2025-05-02,480.0,487.0,478.0,478.18,479.22,49915.0,481.45,23920163.4,571,-3.27,9.0,-0.68,1.88,-0.22,508.98,538.64,700.0,419.0,-0.711680966650789,807.7120000000025,804.5200464004755,48.942150255816095,50.698159046672686
NABIL,2025-05-03,480.0,487.0,478.0,478.18,479.22,49915.0,481.45,23920163.4,571,-3.27,9.0,-0.68,1.88,-0.22,508.98,538.64,700.0,419.0,-0.711680966650789,807.7120000000025,804.5200464004755,48.942150255816095,50.698159046672686
NABIL,2025-05-04,480.0,487.4,477.0,478.32,479.41,44594.0,478.18,21378606.2,535,0.14,10.4,0.03,2.18,-0.23,508.04,538.34,700.0,419.0,-0.7097942616535515,830.4330000000025,814.2042857449683,49.7726383174888,54.71260695974502
NABIL,2025-05-05,478.0,481.0,477.0,478.25,478.48,39597.0,478.32,18946454.8,414,-0.07,4.0,-0.01,0.84,-0.05,507.08,538.01,700.0,419.0,-0.7109730523542174,794.3065000000026,792.3987571067197,48.903760892452034,52.40940815935994
NABIL,2025-05-06,478.0,484.0,475.1,476.94,476.87,39968.0,478.25,19059469.1,458,-1.31,8.9,-0.27,1.87,0.02,506.12,537.51,700.0,419.0,-0.7070411115410838,792.5710000000025,783.7881921026515,48.74950624727135,52.33367568464155
NABIL,2025-05-07,477.0,485.0,474.1,483.31,479.44,66388.0,476.94,31828953.0,489,6.37,10.9,1.34,2.3,0.8,505.26,536.99,700.0,419.0,-0.698729616516232,835.886000000002,805.8484108900661,49.765200035955246,60.351719321468636
NABIL,2025-05-08,490.0,490.0,480.5,482.64,482.86,54724.0,483.31,26424061.9,476,-0.67,9.5,-0.14,1.98,-0.05,504.4,536.48,700.0,419.0,-0.6892848865655499,832.6050000000021,813.5047946948484,49.767677433022556,55.515630203565024
NABIL,2025-05-09,490.0,490.0,480.5,482.64,482.86,54724.0,483.31,26424061.9,476,-0.67,9.5,-0.14,1.98,-0.05,504.4,536.48,700.0,419.0,-0.6892848865655499,832.6050000000021,813.5047614582809,49.76767743302254,55.51637781017382
NABIL,2025-05-10,490.0,490.0,480.5,482.64,482.86,54724.0,483.31,26424061.9,476,-0.67,9.5,-0.14,1.98,-0.05,504.4,536.48,700.0,419.0,-0.6892848865655499,832.6050000000021,813.5047614582809,49.76767743302254,55.51637781017382
NABIL,2025-05-11,490.0,490.0,484.5,485.65,485.61,44892.0,482.64,21799860.5,437,3.01,5.5,0.62,1.14,0.01,503.52,535.96,700.0,420.0,-0.691985209708824,801.3795000000022,788.2300961499043,48.81425210352114,61.12805299473757
NABIL,2025-05-12,490.0,490.0,484.5,485.65,485.61,44892.0,482.64,21799860.5,437,3.01,5.5,0.62,1.14,0.01,503.52,535.96,700.0,420.0,-0.691985209708824,801.3795000000022,788.230143879171,48.81425210352114,61.12709653418676
NABIL,2025-05-13,488.0,493.6,481.0,487.41,485.48,65061.0,485.65,31585532.7,576,1.76,12.6,0.36,2.62,0.4,502.78,535.45,700.0,422.4,-0.692237264162857,825.4175000000021,806.296099765236,49.8561272399684,57.08007588212695
NABIL,2025-05-14,490.0,490.0,482.0,483.85,484.36,25028.0,487.41,12122585.6,354,-3.56,8.0,-0.73,1.66,-0.11,502.09,534.94,700.0,428.0,-0.697544600997662,796.0225000000022,795.7976550658619,48.773611586609285,54.384271901492525
NABIL,2025-05-15,485.0,486.0,481.5,482.11,483.51,47247.0,483.85,22844525.9,468,-1.74,4.5,-0.36,0.93,-0.29,501.4,534.1,700.0,428.0,-0.6951564969965222,818.0580000000024,800.3903496488954,49.886322319328414,55.123559416406124
NABIL,2025-05-16,485.0,486.0,481.5,482.11,483.51,47247.0,483.85,22844525.9,468,-1.74,4.5,-0.36,0.93,-0.29,501.4,534.1,700.0,428.0,-0.6951564969965222,818.0580000000025,800.3905877601172,49.88632231932841,55.11475189687235
NABIL,2025-05-17,485.0,486.0,481.5,482.11,483.51,47247.0,483.85,22844525.9,468,-1.74,4.5,-0.36,0.93,-0.29,501.4,534.1,700.0,428.0,-0.6951564969965222,818.0580000000025,800.3905877601172,49.88632231932841,55.114751896872235
NABIL,2025-05-18,483.0,485.0,479.0,480.49,480.39,37266.0,482.11,17902061.6,531,-1.62,6.0,-0.34,1.25,0.02,500.65,533.16,700.0,432.2,-0.6961962088544367,853.1780000000024,817.8493203203307,45.436332955374006,52.1617169555426
NABIL,2025-05-19,488.0,488.0,479.9,482.58,482.73,42039.0,480.49,20293353.5,419,2.09,8.1,0.43,1.69,-0.03,499.93,532.27,700.0,432.2,-0.6929879251332817,799.7820000000025,790.9715616971644,48.81541840361701,55.24778793015446
NABIL,2025-05-20,482.6,489.0,481.0,488.16,485.04,43243.0,482.58,20974647.6,427,5.58,8.0,1.16,1.66,0.64,499.28,531.37,700.0,441.0,-0.6886893525840517,837.8795000000022,814.4270552227597,49.91356038835084,59.54745913585043
NABIL,2025-05-21,497.9,527.0,492.5,494.21,500.67,91325.0,488.16,45723449.6,869,6.05,34.5,1.24,7.01,-1.31,498.73,530.53,700.0,450.0,-0.681167180625266,833.6915000000023,814.8339992356658,49.97692121067734,54.784663978244225
NABIL,2025-05-22,499.5,503.0,494.6,499.55,499.1,71455.0,494.21,35662859.3,635,5.34,8.4,1.08,1.7,0.09,498.21,529.64,700.0,450.0,-0.6762202907568363,813.3725000000019,794.8356573662629,48.86975033681329,66.55177826809802
NABIL,2025-05-23,499.5,503.0,494.6,499.55,499.1,71455.0,494.21,35662859.3,635,5.34,8.4,1.08,1.7,0.09,498.21,529.64,700.0,450.0,-0.6762202907568363,813.3725000000015,794.835647761862,48.86975033681329,66.55211541166057
NABIL,2025-05-24,499.5,503.0,494.6,499.55,499.1,71455.0,494.21,35662859.3,635,5.34,8.4,1.08,1.7,0.09,498.21,529.64,700.0,450.0,-0.6762202907568363,813.3725000000015,794.835647761862,48.86975033681329,66.55211541166057
NABIL,2025-05-25,509.5,510.0,495.0,496.75,498.3,108411.0,499.55,54020885.7,637,-2.8,15.0,-0.56,3.03,-0.31,497.66,528.93,700.0,450.0,-0.6748550183927006,814.9515000000015,797.315562129745,48.884878757693386,67.80317359878381
